Date,ERBS Id,EUtranCell Id,CAActivatedDlSum,CACapableDlSamp,CAcapableDlsum,CAConfiguredDlSamp,CAConfiguredDlSum,CAScheduledDlSum,PdcpVolDldrbLastTTICA,PdcpVolDrbCA,RadioThpVolDl,RadioThpVolDlScell,UEThp2UlDistr,UEThpDlDistr,UEThpTimeDlCA,UEThpTimeUlCA,UEThpVolUlCA
8-Dec-19,LKTY001,LKTY001K,4100,720,25798,720,3790,1112,11370006,6767,56951976,337971,953,1277,877,0,0
8-Dec-19,LKTY001,LKTY001KA,,,,,,,,,,,,,,,
8-Dec-19,LKTY001,LKTY001KE,132651,720,12190,720,1911,95537,416236,555880,15381223,0,1019,1358,223577,0,0
8-Dec-19,LKTY001,LKTY001L,99910,720,30597,720,6403,17890,12792262,670873,61563752,696492,935,1314,27307,0,0
8-Dec-19,LKTY001,LKTY001LB,0,720,45549,720,21884,0,19940287,0,96177750,92120,1150,1601,0,0,0
8-Dec-19,LKTY001,LKTY001LF,197270,720,23770,720,4508,125034,1391603,1097497,25632029,0,872,1410,514295,0,0
8-Dec-19,LKTY001,LKTY001M,89017,720,35470,720,10115,27604,12811560,1660726,83498396,1217396,1026,1610,103715,0,0
8-Dec-19,LKTY001,LKTY001MC,,,,,,,,,,,,,,,
8-Dec-19,LKTY001,LKTY001MG,204186,720,19864,720,4723,147325,616534,1416483,20329868,0,1098,1489,654654,0,0
8-Dec-19,LRJK001,LRJK001K,78735,720,37427,720,11470,22772,9625672,846275,58339533,2160089,939,1460,52185,0,0
8-Dec-19,LRJK001,LRJK001KA,,,,,,,,,,,,,,,
8-Dec-19,LRJK001,LRJK001KE,363779,720,4401,720,1386,300581,230747,2904855,4329832,0,296,515,390188,0,0
8-Dec-19,LRJK001,LRJK001L,64886,720,22725,720,3997,6787,4337420,196229,40995113,152107,1004,1351,12092,0,0
8-Dec-19,LRJK001,LRJK001LB,0,720,10099,720,4111,0,2060505,0,12994241,272759,414,622,0,0,0
8-Dec-19,LRJK001,LRJK001LF,89378,720,8691,720,1971,27543,513871,304649,11665173,0,801,1183,51611,0,0
8-Dec-19,LRJK001,LRJK001M,48338,720,35198,720,13054,29151,10323752,670976,50605343,440425,930,1621,45180,0,0
8-Dec-19,LRJK001,LRJK001MC,,,,,,,,,,,,,,,
8-Dec-19,LRJK001,LRJK001MG,111754,720,6572,720,3223,69892,223090,697967,5438174,0,435,684,78056,0,0
8-Dec-19,LRJK004,LRJK004K,376830,720,30036,720,9894,123602,9614780,5264235,47145506,1205332,940,1678,260849,0,0
8-Dec-19,LRJK004,LRJK004KA,0,720,47205,720,22367,0,10349042,0,60676957,429429,1326,3132,0,0,0
8-Dec-19,LRJK004,LRJK004KE,232965,720,3523,720,1845,165320,238632,1435992,3100068,0,259,510,214372,0,0
8-Dec-19,LRJK004,LRJK004L,233674,720,61886,720,20926,122540,13628323,1657178,102055286,831197,2101,3308,472201,0,0
8-Dec-19,LRJK004,LRJK004LB,,,,,,,,,,,,,,,
8-Dec-19,LRJK004,LRJK004LF,778860,720,28174,720,10334,457779,1056046,3912634,21435861,0,1227,2134,1904513,0,0
8-Dec-19,LRJK004,LRJK004M,361068,720,39384,720,13758,225757,13091986,5211820,67120657,5494402,1959,2204,413144,0,0
8-Dec-19,LRJK004,LRJK004MC,0,720,49982,720,30154,0,12562271,0,71143140,1625839,1693,2941,0,0,0
8-Dec-19,LRJK004,LRJK004MG,1008572,720,17219,720,8308,710957,877604,5230078,14985203,0,630,1489,1443832,0,0
8-Dec-19,LRJK007,LRJK007K,0,720,27419,720,11536,0,9447658,0,36317091,415875,447,1024,0,0,0
8-Dec-19,LRJK007,LRJK007KE,160211,720,5995,720,2170,120098,244017,768594,10241207,0,232,464,160509,0,0
8-Dec-19,LRJK007,LRJK007L,0,720,8982,720,4475,0,1563679,0,6472682,460165,176,502,0,0,0
8-Dec-19,LRJK007,LRJK007LF,128677,720,6976,720,3828,90633,1001612,975215,9244330,0,202,453,83050,0,0
8-Dec-19,LRJK007,LRJK007M,0,720,1283,720,641,0,182030,0,1748361,2,49,72,0,0,0
8-Dec-19,LRJK007,LRJK007MG,20859,720,2865,720,1141,5955,218370,69251,6707847,0,121,248,8911,0,0
8-Dec-19,LRJK008,LRJK008K,33563,720,27763,720,8249,12125,8667388,221442,54570441,0,942,1242,6862,0,0
8-Dec-19,LRJK008,LRJK008KA,0,720,50487,720,27018,0,17252412,0,90449323,18103,1438,2426,0,0,0
8-Dec-19,LRJK008,LRJK008KE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-Dec-19,LRJK008,LRJK008L,6757,720,25336,720,5334,1355,9850022,19848,63564222,0,1249,1265,858,0,0
8-Dec-19,LRJK008,LRJK008LB,0,720,24586,720,14534,0,7853127,0,44247532,292,671,1172,0,0,0
8-Dec-19,LRJK008,LRJK008LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-Dec-19,LRJK008,LRJK008M,42919,720,41547,720,10401,7010,16681284,164438,90211148,0,1928,1999,12033,0,0
8-Dec-19,LRJK008,LRJK008MC,0,720,50141,720,31719,0,18324120,0,95750445,6006,1727,2282,0,0,0
8-Dec-19,LRJK008,LRJK008MG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-Dec-19,LRJK009,LRJK009K,342502,720,56071,720,16210,107715,11135518,3933953,77502696,890746,2379,3075,611083,0,0
8-Dec-19,LRJK009,LRJK009KA,0,720,39247,720,22046,0,13474011,0,68697101,539490,1212,1854,0,0,0
8-Dec-19,LRJK009,LRJK009KE,328223,720,10610,720,4653,224235,321327,1369887,9206476,0,916,1148,472981,0,0
8-Dec-19,LRJK009,LRJK009L,267829,720,55984,720,21073,98522,11012108,2536485,76907945,448295,1784,3296,515736,0,0
8-Dec-19,LRJK009,LRJK009LB,0,720,22790,720,10543,0,6792846,0,30008350,79299,833,1396,0,0,0
8-Dec-19,LRJK009,LRJK009LF,189466,720,11546,720,3885,115616,502032,974184,13401245,0,741,1249,287253,0,0
8-Dec-19,LRJK009,LRJK009M,411896,720,43356,720,13428,131213,12032897,3396579,77205890,52746,1153,1955,369115,0,0
8-Dec-19,LRJK009,LRJK009MC,0,720,31629,720,16694,0,7730412,0,55420027,255421,945,1666,0,0,0
8-Dec-19,LRJK009,LRJK009MG,104818,720,1245,720,696,17774,77598,114874,2349461,0,37,69,24985,0,0
8-Dec-19,LRJK010,LRJK010K,148973,720,48917,720,14340,36428,11463206,980276,72514491,2021532,1589,2426,73541,0,0
8-Dec-19,LRJK010,LRJK010KA,0,720,31485,720,15984,0,6540442,0,37438087,0,1239,2008,0,0,0
8-Dec-19,LRJK010,LRJK010KE,330667,720,7422,720,3821,173363,1148950,3713591,11191961,0,354,606,223846,0,0
8-Dec-19,LRJK010,LRJK010L,69044,720,17781,720,4779,13805,3665477,239292,29759871,187395,915,1436,22675,0,0
8-Dec-19,LRJK010,LRJK010LB,0,720,72976,720,42639,0,9417771,0,72146291,56972,2335,3779,0,0,0
8-Dec-19,LRJK010,LRJK010LF,168070,720,4900,720,1787,103277,209167,542971,4199171,0,304,466,123629,0,0
8-Dec-19,LRJK010,LRJK010M,131381,720,41291,720,12355,51307,8603307,941096,56628355,690664,1235,2017,83769,0,0
8-Dec-19,LRJK010,LRJK010MC,,,,,,,,,,,,,,,
8-Dec-19,LRJK010,LRJK010MG,297169,720,3953,720,1552,208835,292362,1313229,4920410,0,142,277,261136,0,0
8-Dec-19,LRJK011,LRJK011K,239218,720,36715,720,9614,91748,10684847,3013712,67194072,2708509,1013,1917,165249,0,0
8-Dec-19,LRJK011,LRJK011KA,0,720,38647,720,21396,0,9217297,0,61902764,613258,916,1853,0,0,0
8-Dec-19,LRJK011,LRJK011KE,476528,720,15941,720,6421,362362,607873,2950278,17582179,0,620,1283,519236,0,0
8-Dec-19,LRJK011,LRJK011L,10546,720,22631,720,6478,3763,7939331,39973,50384967,11845,470,1052,1540,0,0
8-Dec-19,LRJK011,LRJK011LB,0,720,0,720,0,0,0,0,0,0,0,0,0,0,0
8-Dec-19,LRJK011,LRJK011LF,188567,720,15235,720,3939,115962,552215,1171846,15182419,0,469,1059,181319,0,0
8-Dec-19,LRJK011,LRJK011M,29502,720,25163,720,3601,5533,10169524,447743,42012216,99842,485,841,8405,0,0
8-Dec-19,LRJK011,LRJK011MC,0,720,33878,720,17556,0,7077260,0,58267073,29416,865,1668,0,0,0
8-Dec-19,LRJK011,LRJK011MG,32979,720,10518,720,2302,20621,405487,182471,13847367,0,435,763,33981,0,0
8-Dec-19,LRJK012,LRJK012K,260610,720,55950,720,21531,61495,11978705,1547804,69431995,427085,1549,3065,94163,0,0
8-Dec-19,LRJK012,LRJK012KA,0,720,32049,720,19242,0,5583515,0,34619747,195674,1069,2440,0,0,0
8-Dec-19,LRJK012,LRJK012KE,158775,720,6328,720,2989,72746,295789,810980,4386039,0,513,808,91198,0,0
8-Dec-19,LRJK012,LRJK012L,119893,720,41958,720,14458,22144,14919313,805298,73438537,2236713,1002,2031,48082,0,0
8-Dec-19,LRJK012,LRJK012LB,0,720,60578,720,37028,0,10651276,0,75078531,36171,1939,3436,0,0,0
8-Dec-19,LRJK012,LRJK012LF,668165,720,17165,720,7903,513895,566875,3438804,16841201,0,952,1640,913741,0,0
8-Dec-19,LRJK012,LRJK012M,606597,720,45828,720,15328,445708,8940090,6871172,76511695,294517,2468,3433,1475469,0,0
8-Dec-19,LRJK012,LRJK012MC,0,720,72171,720,41475,0,5380112,0,47049568,229298,2295,4639,0,0,0
8-Dec-19,LRJK012,LRJK012MG,418915,720,24415,720,8309,220481,810783,1351657,14807226,0,2041,3080,919482,0,0
8-Dec-19,LRJK013,LRJK013K,13416,720,3637,720,767,2075,3816584,128032,7179377,0,106,180,4706,0,0
8-Dec-19,LRJK013,LRJK013KA,0,720,11828,720,6717,0,4125843,0,21669356,8319,264,467,0,0,0
8-Dec-19,LRJK013,LRJK013KE,715,720,1216,720,139,188,82718,74,3075050,0,43,83,65,0,0
8-Dec-19,LRJK013,LRJK013L,334,720,2365,720,243,108,1552227,487,6344880,8,93,123,1,0,0
8-Dec-19,LRJK013,LRJK013LB,,,,,,,,,,,,,,,
8-Dec-19,LRJK013,LRJK013LF,620,720,433,720,88,325,12627,221,180677,0,39,67,39,0,0
8-Dec-19,LRJK013,LRJK013M,5290,720,10845,720,2701,2311,2520954,7313,13786283,16558,330,478,74,0,0
8-Dec-19,LRJK013,LRJK013MC,,,,,,,,,,,,,,,
8-Dec-19,LRJK013,LRJK013MG,9134,720,599,720,187,5669,6524,26110,152456,0,73,84,7665,0,0
8-Dec-19,LRJK014,LRJK014K,79377,720,15608,720,2632,22426,6198410,635954,23971029,407450,462,672,16190,0,0
8-Dec-19,LRJK014,LRJK014KA,30074,720,19174,720,10122,18926,9188039,205933,43329653,19162,451,876,14821,0,0
8-Dec-19,LRJK014,LRJK014KE,200706,720,10719,720,3356,122111,569824,1095815,15368084,0,587,959,205575,0,0
8-Dec-19,LRJK014,LRJK014KI,0,720,3838,720,1298,0,581047,0,3202639,3949,78,189,0,0,0
8-Dec-19,LRJK014,LRJK014L,85135,720,33603,720,8206,43603,14116296,1170875,69031526,760706,1044,1569,64469,0,0
8-Dec-19,LRJK014,LRJK014LB,98726,720,15978,720,8440,36948,5720644,1200634,27088246,2058,360,656,64417,0,0
8-Dec-19,LRJK014,LRJK014LF,102040,720,7217,720,2868,67128,630150,920087,13880866,0,421,691,80734,0,0
8-Dec-19,LRJK014,LRJK014LJ,0,720,3294,720,769,0,262967,0,4402448,157034,98,193,0,0,0
8-Dec-19,LRJK014,LRJK014M,6417,720,18690,720,3976,2456,7454197,7927,29007315,58673,497,708,91,0,0
8-Dec-19,LRJK014,LRJK014MC,,,,,,,,,,,,,,,
8-Dec-19,LRJK014,LRJK014MG,150281,720,12848,720,4458,93994,380423,755086,11993742,0,632,1311,185143,0,0
8-Dec-19,LRJK014,LRJK014MK,0,720,18192,720,7042,0,5670207,0,37915698,276470,378,676,0,0,0
8-Dec-19,LRJK015,LRJK015K,1435,720,4618,720,776,520,2041026,8549,10356114,0,264,352,170,0,0
8-Dec-19,LRJK015,LRJK015KA,0,720,27222,720,10595,0,8944867,0,38020478,23782,1075,1504,0,0,0
8-Dec-19,LRJK015,LRJK015KE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-Dec-19,LRJK015,LRJK015L,55735,720,34281,720,6395,40667,9819204,283563,77271380,0,847,1265,107957,0,0
8-Dec-19,LRJK015,LRJK015LB,0,720,26941,720,6346,0,7104409,0,51833314,125434,1293,1466,0,0,0
8-Dec-19,LRJK015,LRJK015LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-Dec-19,LRJK015,LRJK015M,65155,720,30883,720,7155,26784,6651160,592071,59282864,0,1208,1521,58656,0,0
